site,ABCD,A,AB,B,BC,C,CD,D,BCD,DEF,DEFG,EF,G,EFG,HI,GHI,EFGHI,DEFGHI
FON1,2,5,2,0,2,6,4,1,0,0,0,2,1,6,0,0,2,2
TRA1,0,1,0,1,3,10,1,7,0,0,0,12,10,1,0,0,1,0
MOLD,1,0,0,0,0,6,5,8,0,2,0,12,6,0,3,9,3,0
TES,2,0,0,3,3,15,2,7,1,0,0,18,2,0,4,0,0,0
TRA2,0,0,0,1,1,9,12,6,0,7,0,5,0,18,0,5,6,0
PPI,0,0,0,3,2,7,0,4,0,0,0,29,25,0,0,0,3,0
WIK,0,0,0,3,0,8,1,11,0,1,0,32,18,0,1,0,0,0
PFE,0,0,0,12,2,26,0,6,0,0,0,11,18,4,0,3,0,0
PCS,0,0,0,0,0,41,0,20,0,0,0,20,6,0,10,0,6,0
LAD,1,0,1,2,1,8,5,33,0,26,2,28,14,1,0,0,0,0
